text,label
kendi kandırmak hep ben yanmak yüz kadar orospu fitne fesat varmak yapmak hakk vermek,1
user user user se bakmak ne yazmak desteklemek bilemek karşı,0
haber ilk kaynak paylaşmak bugün yaşamak mutlu mimar genel başkan user kadar gurur duymak azmak,0
yengeç şe sanmak sensin,0
herzaman memleket milyon turk varit fakir milyon varit milyon bu milyon,1
user aynı şe se söylemek,0
user bahçe se hdp görüşmek demek seçi değil beka mesele demek bakmak akp yapmak iyi parti chp ittifak zillet demek şimdi akp o ittifak a demek,0
user küçük şey zevk alınmak bir gün geri bakmak o büyük şey olmak fark etmek,0
el patates al öykü fır patates tarif almak gece canlanmak akıl kendi kendi gülmek başlamak yine güzel anı iyi var,0
kendi beraber kulüp imza o bildirge hatırlamak hakem insan hata yapmak user,0
user user user sn bakan user eğitim vizyon açık ay olmak sürmek düzenlemek ile ilgili yasmak değişik yapmak gerekmek demek artık tükenmek mayıs yasmak user user user user,0
user ey insan siz bir tek nefis yaratmak o eş var etmek iki bir erkek kadın üretmek rabb korkmak,0
avrupa standart çalışmak maaş almak finlandiya model oy kullanmak istemek user user user user user user user user user,0
ronaldo juventus futbol tarihî kadar ahmak bir tercih aynı zaman kadar büyük bir meydan okumak şahit olmak,0
başlangıç iyi olmak ummak deva gelmek millitakım,0
bir kahve alay tuz olmak,0
az önce kocaman bir böcek görmek yer,0
user evet siyaseten ekmek yasak o tarla ara güzel dalgalanmak,0
iyi niyet suistimal doğrulmak hayat olumsuz şey düzeltmek önce kendi başlamak,0
sinirlenmek zaman açmak kedi video izlemek yok böyle bir terapi yaaa vallahi,0
allah birgün can öyle al ölmek hissetmek tıpkı şua hayat yaşamak hissetmek,0
user user user user user o se demek otobüs dolusu suri li yarı suriye kardeş medya görmek şe inanmak bu ben sanmak tavsiye,0
li gaspetmek hakk iade etmek olmaz prim süre kısım kısım durum suri li kötü,1
user user user user user user user user user bu gide kadar yine umut olmak emin değil re kaybetmek seçi girmek minare çakmak kılıf hazırlamak haziran minare çalmak,1
user aynı fikir değil yüce gönül açmak kapı açmak sonra gün ayrı bir linç haber insan düşman olmak bir el parmak kadar i̇nsa varlık çizi engel olmak,0
kendi yılmak i̇sot ilân etmek bu ay kaçıncı torba i̇sot çıkarmak saymak,0
am çinli ülke yaymak virüs orospu çocuk yüzünden,1
user yaşamak gerekmek yazmak vakit zaman ben el gele yapmak geri kalmak takdir i̇lahî,0
şark ara cırcır böcek se katmak amaç düşünmek çiftleşmek göt yırtmak bir yaprak üst gelmek mikrofon tutmak sanmak saldırı arac yok kalkmak bu belâ sikmek demek demek cırcır böcek dayanışmak bence,1
saat içinde bardak kırmak gerçekten büyük başar,0
bu am yerinde kimse iyi olmak çalışmak iyi niyet olmak ince düşünmek anlayış olmak gitmek direkt dümdüz sikmek anca öyle yaranmak,1
kolay teog girmek ahkâm ortalama konuşmak hayat d,0
bu ermeni pkk üst yönetmek hdp eşbaşkan yönetmek namus şeref var gariban kürt kardeş dağ zorla kendi kız götürmek gerçekten dava samimi olmak görel,1
sadece arap takım oluşmak bir kupon yapmak arap hayır bura sikmek böyle kardeş,1
kendi kendi sürpriz yapmak üst tanımak,0
hak hoca se boşalmak lazım se tedavi etmek kısır,1
user telif hakk dm,0
millî piyango bilet fatih sulta mehmet han barbaros hayrettin paşa mevla hz yunus emir alçak i̇slâm sancaktar yapmak dalga geçmek yılmak,1
ben mutlu,0
user ruh ad olmak allah siz sabır vermek,0
user ayşegül demek zaman var,0
üç yıldır bütün seslemek se yarım kalmak ses üç yıldır yüzmek dünya tek fotoğraf üç yıldır se yapmak bir kap,0
ev gitmek ayna bakmak ben bütün gün tiplemek mi gezmek demek bilmek,0
user evet uçuk krem kullanmak zor olmak hoca,0
i̇smail bey user user söylemek demek hâl ısrar söylemek demek devam etmek izlemek video söylemek açık orta eğer fatih bey kadar em ispat yolunmak gitmek güvenmek sarsmak bir durum,0
daha yeni yemek program sansür izlemek gerçekten demek söz yok,0
bir millet düşünmek dan beri savaşmak ülke işgal etmek var yoğ orta koymak kadın yaş savaşmak ülke kazanmak türk bir millet düşünmek ülke bomb atılmak ana bacı ora bırakmak i̇stanbul kaçmak suriye,1
user user hangi taban hangi gazete tekabül etmek anlam kullanmak belli mütekabiliyet ter anlam dış şekil kul emin değil,0
user user kaçmak satmak kardeş parti kaç feda etmek koca çınar parti genel merkez mi almak yoksa,1
user user i̇smail bey yaş mağdur se duyurmak mu tüm kamu kur kuruluş personel alım yaş sınır kaldırmak istemek kpss sınav girmek aranmak yaş şart atamak aranmak liyâkat istemek yaş oy yok,0
user yaa teşekkür,0
kılıçdaroğlu asıl konu kaçırmak konu beledi başkan seçim yapmak meclis referandum seçim yapmak anayasa sistem gelmek akp kurum yandaş doldurmak geçmiş ala gerçekten üsküdar geçmek,0
bir evre gezegen okyanus kıta adamak ülke i̇nsa rastlamak milyar bir user,0
bir yan yalamak yalamak dil aynı an türk uzatmak gerçek profil resmî gerçek is dolayısıyla karakter kullanmak şarlatan kabul etmek,1
muradiye camii mimar sina şehir sırp işgal kutlamak gün,1
dış gülmek bahçe görünmek iç cam kırık kimse anlamak,0
user se söylemek çerez kapak neyse ben esmek görece o,1
user se ben yenmek cünkü ben sen oynamak,0
psikopat olmak yeni mi anlamak abla,0
sevmek seçmek sadece sevmek,0
user user az kalmak başlamak istemek ben emir kul banmak yapmak demek yapmak zor kalmak bu duymak,0
kız erkek göt yalamak erkek aramak süre istemek şey yarım kalmak,1
bu asmak nezle karış bir hastalık insan eliyle laboratuvar ortam üretmek virüs yapmak acaba dünya yönetmek soymak yahudi hırsız cani dünya yönetim kaybetmek puşt sergilemek terör savaş kan kir işlemek çevirmek göre,1
user marmaray ankara i̇stanbul ara hat dimi,0
abd dışiş bakan venezuelâ demokrasi getirmek açıklamak irak getirmek demokrasi abd yemek taşımak venezuelâ yönet ırak a getirmek komşu rahatlamak,1
kan bozuk kan emperyalist siyonist bölmek fetö bizans artık ermeni taşnak rum bozuntu i̇slâm ile kavga zihniyet i̇slâm ile kavga zihniyet ittifak etmek zillet ittifak inadına başkan,1
user başkan beraber yürümek yol güç güç katmak istemek seçi önce atmak görev baş olmak istemek birlikte üretmek istemek,0
am site kimse kendi zorla takip çıkmak takip tatava yapmak,1
yazmak ay grip olmak nefret etmek,0
kişilik arkadaş grup o teyze yan düşmek yan kadın diğer gelmek kız yemek değişmek sorumak yan kadın çocuk rahat bozmak falan kriz ortam düşmek,0
user user tamam insan gün beklemek podolski taha çin izlemek destek çıkmak ancak mariano ben zor gitmek,0
user bu se çekmek be fener ms ancak kadar olur yine se insaf fener hâl o abi,0
iyi yemek var demek,0
se gazete piyasa süre se okuyan,1
user d ben hâlâ tanımak galiba d,0
bu memleket biz o biz görünmek kalbî gâvur çarpmak vatan hain var bu kendi gizlemek taraftar bulamak çünkü yüz yıl öyle asimile olmak neredeyse yarı yakın gâvur gâvur dost olmak,1
kimse değil sevmek tarafından sevmek user,0
akşam rakı içmek amarok almak user,0
insan kutsamak önder bellemek papağan etmek kuyruk olmak yapmak herif bile cehalet saçmak safsata saçmalamak çömez mürit varmak düşünmek budala herif mi yunmak mitoloji okumak,1
her defa aynı i̇nsa yenik düşmek kolay sanmak,0
cumartesi haftasonu sabahları adria lima metrobüs durak gelen kız koltuk kapmak gelmek kibariye,0
sevmek kız özellikle kahve istemek,0
koskoca kylie jenner böyle zevk görmek,1
user user user yakışmak keşke kendi taraftar olmak forma çıkarmak imek,0
user atiba medel le oynamak ileri lari love olur kanat belli olmaz ho istemek,0
user bulmak işte se varmak profil bakmak belli bird ince demek var şifre troll tayf,1
gece gece millet rahat olmak araba alarm ötmek piç se,0
user oy ben kıymak yazık kız yaa,0
user tatil bok bird okul gün yapmak söylemek vay,0
bazı insan o nefret özlem aynı son nefes bile,0
bakış sıradan insan fark en kötü karakter yüklemek i̇nsa sıradan i̇nsa fark olmak anlamak geri hiçbir bırakmak yok etmek his hayat,0
bey genelmek kısa galiba uzun boy kız savunmak yok,0
user user user user ümit etmek destek beklemek dua etmek,0
yağmak yağmur çakmak şimşek içmek mi can,0
user allah boş adam meşgul etmek bile son te kendi takım yan bile geçmek final utanmak susmak yer şampiyon kutlamak salak bir topluluk,1
user siyah tam inandırıcı olmak şu hâl inandırıcı hazır bel altı çalışmak lütfen,0
user ben i̇rem sevmek rağmen birkere bile dm bu yazmak hangi cesaret anlam,0
bu film izlemek,0
uyanmak hüngür hüngür ağlamak neden yok,0
susmak geri zekâ banmak kızmak,1
hayat özlem çekmek anı yaşamak iyi var,0
user user user user en son ara vermek hatırlamak yazık olmak cidden banmak bile indirmek ama tekrarlamak platform genel kadar sorun olmak gerçek değişmek konu alaka muazzam bir video var hatta izlemek bakmak,0
user bakmak albayrak yeni açıklamak sınır ben bilmek,0
user ya,1
zaten fikrî zikir olmak ateist bir zavallı hâliyle kendi yol o fikrî sapık desteklemek olur yürümek yollamak aşınmak biz böyle yoğurmak böyle yemek sırp bozmak anlamak,1
kalite burger king dondurma yemek anlam avm gezmek görmek sonra kıyafet sarmak yatmak karmak vermek gece,0
şimdi ne yaşamak hangi tutsak gece hangi bağımsız yarım sabah,0
kahramanmaraş ben bihter yas genc merkez kendi ev tek gizli içinde görüşmek bey aramak sınırsız sekmek zirve olmak ara kahramanmaraş zirve,0
user user demek anlamak sıkıntı yok uygulamak var nick name dikkat çekmek uzay tek canlı biz dünya uzay küçük âdeta ebat dünya çevrelemek atmosfer uzamak uçmak dünya korumak dünya kendi güneş etraf dönmek,0
hayat bura sonlanmak istemek game over allah anlamak,0
user muazzam zarif hoş bir kadın,0
pkk terör örgüt pkk din pkk i̇slâm düşman pkk topluluk pkk vatan hain yeridir pkk ermeni hınçak tır pkk kürt değil,1
akparti mhp ülke gerçek erdoğan sayesinde yalandan düşman görünmek insan birbiri düşürmek fetö i̇ngiliz hain kardeş kan beslenen maske düşürmek sis hava dağılmak dost düşman belli olmak temizlemek düşman,1
haram olmak genç bakmak talan olmak ah sevmek yalan,0
user al işte kızmak bakmak oğlan bakmak,0
user ah tatlı prenses böyle,0
millet tarih görmek son ay lütfen bu kaldırmak,0
user arzu merhaba ner ben i̇zmit,0
user insan par kazanmak yol şaşırmak olmak türlü evlilik program türlü oyun fırlamak ülke düşünmek kolay bir şekil aday koymak biz bakkal nuri abi aday çıkartmak sağlam gelecek inşa etmek,0
yarın sapan bakmak,0
user üzüntü bir ağlamak demek gülmek,0
kendi dost müttefik bulmak çalmak kap bırakmak fakat bir kap yüz açmak eğer açmak bir kap etmek kap yahudi kapı kuşku neden değil çünkü düşman çıkar ortak,0
bugün siz sarmak var pozisyon alınmak,0
user user o olmak yapmak o artık hesap allah vermek şua sistem geçmiş yapılanmak yanlış düzeltmek yapmak yanlış onaylamak kocaman cami müslüman sanmak kendi dün faiz düşürmek s,0
vatan hain zaman aş olmaz dokunulmaz asla olmaz,0
ner uyanmak aramak önce geçmiş olmak demek ana avrat ölmek mi ne anlamak,1
user net bir milyon dolmak hepsi siz olmak m vermek d,0
insan iç sıkıntı sokmak kara bulut hava karanlık ayı sevmek,0
user user user biz siz iyi kimse anlamak anlam vermek boşvermek şikayet hak konum iftira var vebal ödemek,1
user user bu arkadaş sezon baş ho ferdi istemek çalışmak demek arkadaş dimi,0
user user tek çift saat anal yok kondom şart merkez yemek var en iyi ben ara denizli,1
bir kalp sevmek beklemek beklemek,0
user user niye el ekmek rahat koltuk iyi bilmek,1
allah sefer hoşlanmak kişi başlamak bitmek üzülmek,0
siz ses duymak,0
user tsk etmek güzel bakmak güzel,0
user abi eskişehirspor sosyal yarmak etkin destek o ün sanat stadyum konser ayarlamak gelir kulüp kalmak gayet güzel olur yokmu şekil bir plan,0
her olmak sevgili hiçbir değil vadi zambak,0
aaa kim gelmek atv,0
herşey se varmak,0
bir aşağı o imek onmak d el mni götün,1
user user user erzurum ara iş çıkarmak vakit bol yazmak işte se banmak uyku kalmak uyumak istemek,0
aile biri telefon telefon uçak mod almak,0
user te yana he cluj branş united saymak zaten uefa avrupa lig mi yoksa bu,0
dün olay sonra herhangi bir bahane kabul etmek ülke savunma top göndermek o göt var mı artık problem,1
uğur demirok penaltı kullanmak gerekmek jose sosa top vurmak eleştirmek burak yılmaz jose sos var durmak top kullanmak gerekmek söylemek gerekmek,0
çay kitap eylül mavi de sevmek ve tüm adalet insan eşit derece uzak durmak artık,0
allah ne olur olmak gerizekalı bile olmak hatta deli olmak ama namus temiz olmak,1
dram e sevgili zaman se kanka dram,0
operasyon çocuk gâvur sıpa içermek dışarı ülke saldırmak it,1
avcı user hayır olmak başarı dolu sezon yaşamak yaşamak,0
hayır zaten diva edebiyat çeviri kitab bir cümle iki okumak akıl ner gelmek şimdi yarım saat aynı paragraf,0
bu kafa siz ora götürmek özgüven yaşa ezik,0
the izlemek kaç kalite diz izlemek şimdi bura,0
user bar endeks itibaren eksik h değer ortalama bir son barınmak değer ilk çizgi kesmek al bir sistem ilk akıl gelen,0
hâlâ arap göt kollamak asla inanmak yahu se büyük metropol insan kaçmak can kurtarmak bir yer yok her yer imar açmak avm yapmak ama hâlâ güven bölge amerika biz oyalamak demek pes deprem,1
user değil neden olmak,0
user user genç yıl hakem yapmak o bir müdür mhk tff gizli başkan serdar çakır cüneyt hakem beş par etmek baba lobi sağlam ad san orta olmaz dermek aziz yıldır ker dillenmek bu sonra kapanmak gitmek konu,0
ben sanmak kızmak bu ara sıra uğramak banmak bir gün önce aynı şe söylemek gerekmek bir başka güzel,0
ne bok yemek hakkında bir fikir yok,1
fava naber le şopar girmek,0
user kafa dinlemek kalbî temiz mesaj beklemek,0
iç hiçbir gelmek sanmak içim ölmek,0
savcı kahpe yakmak önce suriye rol oynamak sonra suriye nefret türk rol insan böyle kandırmak,1
ummak birgün banmak denk gelir gâvur tohum,1
user user user amerika yer türki zannetmek bırakmak önermek üniversite devlet hastane acil zaten fiyatlamak hasta belgesel bir belgesel var tavsiye etmek,0
user ulan ak parti se tayf bu kadar cehennem yanmak tutuşmak görmek,1
user tutku aşk yâd bir miktar sevda,0
user user işte banmak bu gelmek abi teşekkür etmek hemen,0
vicdan değil akıl eyyam değil adalet,0
mağlup bizimki hâlâ sol bek çıkartmak sol bek sokmak hoca se lucescu,1
artık sevmek dün gelmek tat,0
kadı mal şiddet hak bilmek erkek güç kadı tahakküm ölçmek zihniyet değişmek eğitim adalet sistem değişmek kadın ölmek,0
user tecavüz olur taciz olur sormak olmaz yılbaş kutlamak bura i̇slâm ülke rezalet demek küfür,1
ben köşe ölüm uyku bek bari,0
user kol bacak kesmek bur almak bura destek olmak zarar zaten çıkmak demek bura dm yemek ekstre atmak,0
user üst reçel bugün geçer,0
kanat kutu o rüya kanat uçmak günaydın,0
millet sikik sikik fotoğraf görü cidden kendi fotoğraf kalite bulamak,1
ölmek kalmak aşk bin ker göndermek gitmek ben hiçbir yermek,0
kere yanmak asıl se aslı güzel,0
user mutlaka herkes bir fikir söyler bence abaza dolu bura onmak fazla söz gerek yok konuşmak güzel olmak seviye allah bağışlamak,1
lan sikmek gitmek am kod milliyet piç se önce sikmek gedmek türk konuşmak bırakmak bura türk cumhuriyet,1
allah biz böyle diyet nasip etmek,0
yormak uyku uyanmak bu anlamak,0
de baykal i milletvekili ermek erdem kur kuş yem etmek user yi,0
oynamak yazmak değer bilmek,0
atamak değil yüksek puan o atamak sağlık duymak artık user user user user user,0
bu parti terörist pkk demek ulan ana öreke mektup okumak meclis sokmak zaman demek adam çoğu kişi göre omurga az herkes terörist siz göre zaten dip not hdp li değil,1
şeker çay içmek banmak öç bakmak kuzen demek,0
yine gece bask biri ada kacak biri sim beklemek ben ben yasal millet kacak girmek evlenmek oturum sokmak sistem,1
user user o çöp araba preslemek,0
gelmek gitmek aşk vazgeçmek,0
ne bilmek se hasta deyi ben veteriner okumak karmak vermek,1
user sayın vekil kafadan bin oy hibe etmek bu uzamak iş bitirmek artık,0
hayat böyle bir yer sonra kadar karışmak kalabalık,0
çevre insan ufak hata artık dayanmak yan kalan sayı falan,0
user user hadi ora sadece halkbank böyle yok,0
falan çocuk rtük denetlemek normal zaten gerekli olay aşırı saçma vermek bebe telefon tablet oymak oynatmak ebeveyn,1
ben hep eski tarih yazmak ya on se önce yazmak ya yılmak önce yazmak önce yazmak yani yılmak kimse tanışmak se dokunaklı bir kadın üç hikâye o i̇lham gelir,0
user dış sakatat tüketmek hatta bu sonra dış herhangi bir besi kabul etmek bu bir oruç bura adamak yetkili seslenmek bayi vermek bura,0
her sabah günaydın demek sıkılmak gerçekten uyanmak ben siz günaydın demek zaten iş iş geçmiş olur,0
bu bir ker dinlemek yeter yem etmek kendi parçalamak istemek kaldırmak ben bu,1
kullanmak hayal görmek başlamak galiba,0
güya dünya lider ev fırın buzdolabı almak övünmek ülke yarı cezaevi rakip rehin almak mal varlık açıklamak öteki rakip tv çıkmak dünya lider,1
keşke canan karatay in soyadı ters zayıflamak,0
user lens kütük bakmak lazım trabzon doğum şenol hoca tahammül etmek başka açıklama olamaz,0
iki dakika iz demek deli dönmek kız gercek beyinsiz,1
yine eski dizi düşmek bütün gün izlemek,0
can kuzen suçlu bile olmak banmak hak vermek zor kalmak yapmak aynen,0
bura nefes almak bile fazlasıyla sormak moruk,1
inşallah allah beter günlemek nasip etmek siz kardeş,1
gerçek aşk dede ölüm sonra o olmak o özlemek babaanne kanser hastalık yakalamak dede yan gitmek,0
user az bir şey sanmak,0
user bilmek bilmek,0
gün geç ti şimdiden meral muhteşem ulumak özlemek,0
herkes yük sırt almak çalışmak son kendi yer kimse yer kalkmak sanmak el uzatmak,0
değerli takip twitter hesap elemek geçirmek şu an twitter ben hesap yönetmek görünmek twitter durum araştırmak ara mesaj göndermek bilgilenmek ara uygun mesaj ben olmak bilmek istemek,0
user tur olmak vettel aynı lastik girmek sonra,0
misafir haber gelir rızık kader ölüm allah rızk helâl kader güzel ölüm iman eylemek,0
balkon sızmak kalmak beklemek orjinal yatak iyi gecelemek,0
yardımcı olmak yemek almak torpil kabul secde başka peygamber lanet üzer karakter yahu,0
hazard dünya kupa sinyal vermek artık tartışmak iki numara,0
ne insan dış davranış anlayış ırk hiçbir yer olmak hele hentbol olmak hentbol,0
siz ali seçmek zaten ülke devil türbe,1
tiyatro kendi avutmak am koymak darbe olmak almak el ülke ana sikmek akp gitmek yeter zihniyet sahip herkes ana sikmek hep geçmiş olmak,1
kalp temizlemek istemek önce vicdan temiz o kalbî kir tutmak,0
user amerika erdoğan hedef almak demekki doğru ada erdoğan,1
sanmak sormak gelecek demek ada delirmek delirmek,0
başka yanlış ders çıkartmak hayat gerçekten öğrenmek,0
böyle derbi sormak dünya derbi demek,1
user user abi uğraşmak vakit kayıp,0
user pavyon gitmek kadın tarafından var,0
fatih hoca sosyal medya sıkı bir şekil takip etmek yapılanmak yorum kendi yazmak özellikle duyum dikkat etmek kimse hoca gazap uğramak çevre uğramak hâl ben bilemek,0
abd çin ara yılmak sürmek yeni bir paylaşım savaş vermek sonuç abd yemek ve çin küresel güç ilân etmek sscb soğuk savaş süper güç abd,0
user ben görü,0
rum mezalim anlatmak bir zamanlamak kıbrıs nisa trt türk istemek yeni nesil yarar emin haber gündem türki tsk kktc diz trt,1
user etkin haziran cuma yazmak bir hata iyi günlemek dilmek,0
arkadaş teknik bir hata olmak özür dilmek başka zaman user,0
biz memleket biz sorun bir suriye terörist dâhil olmak se kopek lan sanmak girmek çıkmak,1
user tar orman bakanlık personel al net bir say tarih vermek gün beklemek biz genç üzmek istemek bilemek yakın zaman müjde verecek inanmak,0
insanoğlu dünya kanser bu bir net bir şekil göstermek ben artık kendi fayda o yanlamak kendi fayda olmak yok etmek orospu çocuk yormak baş kitle tutmak balık kadar,1
user geçmiş olmak user fener ana sikmek,1
baba ben yolmak boy siyaset hâl türkiye kadı yer motive etmek çıkmak sonra aynı konuşmak gerçi banmak uymak demek,0
vatan bayrak millet ihanet etmek saygı değmek hoca ezmek,0
inanmak her güzel,0
lo celso lo değil lo,0
stres şimdi kadar çok yok olmak,0
ersu yanal gelmek tam ne beklemek user,0
yılmak türkiye tek tak galatasaray dır kupa be,0
user o kanal sahib kadar çuval dolusu rüşvet dağıtmak gücün yetmek ancak acımak siz peş imek vay vay vay kim gaz başkan vekil,1
az ben ağız bozmak siz karakter değil am salak,1
de ben sanmak düşman şimdi söz yürek burkmak onmak aşırı zor bir durum kendi kız görmek kişi kendi kız dolay olmak ölümüne sebep olmak avlu,0
sikmek gitmek arabistan tak su kuzey bu paragöz aidiyet duygu olmak pis arap hırsız,1
takip engel yemek demek mi ball lokma tatlı,0
recep yapmak zam ekrem i̇mamoğlu yapmak göstermek kaç puan,0
işte zihniyet şatafat düşkün ülke hâl getirmek kamu kur makam sene silmek baştan millet kaynak kendi mal har vurmak harman savurmak yazık olmak,1
sade so sigar kadar uyum var,0
oysa ben se yalan sevmek,0
user user sinir kendi hasta etmek güzel günlemek var ön,0
hele demek elim sigar kokmak başlamak anmak baba telefon girmek yemek,0
kız kendi bağlamak sonra unutmak diğer kızmak paragraf boyunca yaz yazmak an sevgili iyi kız vs deyip kapatmak karakter,1
zengin bir asalak öyle bir asalak toplum emmek sömürmek fakir çoğu uğur ölmek bilmek dostoyevski,0
haluk abi ara anne selami var sanmak etmek user,0
user geçişmek imkân varmak ben katmak ora,0
user efsane o sanmak ocak in sonra başkan,0
dün anne demek ev tapu banmak yapınmak hakk,0
user aynı şe düşünmek insan sadece kendi düşünmek vatan özgürlük adalet ortak yaşam kent kültür sivil toplum örgütlemek hak aramak değer haber büyük hâlâ biat kültür etki kendi saygı hükmetmek rahat değil,0
rüya girmek insan bildiri gitmek,0
user user hasta yakın doktor muhtaç hasta has doktor dövmek devlet bu artık durmak demek ağır ceza uygulamak yoksa hasta öz güven doktor se bilmek hâkim bey,1
asker yapmak üniversite başlamak yaz manisa sıcak ağır iş çalışmak dershane para birikmek emek vermek kpss derece yapmak mülakat bütün emek alınmak ter yıllarca vermek çaba alınmak durum düzeltmek,0
bazen kalp böyle el almak avuç sıkışmak daralmak hissetmek,0
deli dj dikkat ses dinlemek ucuz japon yapıştırıcı koklamak güzel kafa,0
ad değişik imek aşk değil şeref koca bina bir fare terketmek hiç mutlu olmak dilmek sol yan yalnız beklemek ayrılık durak mekân olur ummak sal saat,1
millet katmak çıkmak biz ev sahib katmak inmek durmak temel gelin durmak ummak ev alt kaymak köstebek herif,1
ailecek çekiliş kitap dış ne eklemek düşünmek anneanne patik öremek siz yün almak göndermek popo vurmak vurmak,0
yıllamak sonra gol atmak sanmak marino meclis maalesef gülmek ağlamak hâl,0
tüm herkes kandil içten dilek kutlamak hayır kandil survivor,0
leğen içinde uyumak serin serin oh,0
sırp piç yazar,1
user gün önce işemek durmak,0
eski türki su yeni türki suriye,1
user o var olmak öyle ulu orta göstermek hırsız girmek ev,0
türk poli üniversite bomb patlamak istemek insan asmak yüksek yer atmak tehdit etmek suriye bir köpek karşı pek hazır değil sanmak neyse ben yine hazırlık beklemek ben ev kendi vatandaş karşı hazır kahraman polis,1
kendi ülke türk olmak müslüman geçinmek çoğu rus asıl yahudi hristiyan hain hırsız sinsi cani arsız yamyam korumak durum düşmek türk ulus herkes hırsız çalmak kaçırmak teslim etmek,1
sikmek etmek güzel terapi ne sikmek bilmek biri sikmek etmek,1
sanmak ilk kalp değil mantık bakmak se affetmek se yok etmek iç,0
user en sevmek yavuz çetin şarkı aşırı anlam kalite bir şark,0
user o değil fener maç yok keyif,0
sanmak çirkin demek düşman olmak güzel cuma,0
ankara olmak gidermek allah gitmek ses nefes güç vermek,0
uyumak dua falan yok yarın ders var yoksa,0
bütün duygu bilmek hiçbiri hissetmek olmak,0
ne güzel söz bu sadece yazı türkiye gerçek bu se içinde değişmek kim iktidar süre içinde ülke hâl mevcut hükümet getirmek imza,0
penaltı görmek istemek gol ata can cehennem,1
ve kız şua yaprak sarmak anne,0
bazen şey zamanlamak geçer bazen sadece zaman geçer,0
özlemek kendi bile itiraf etmek,0
işte gün kendi bu müslüman mal böyle demek yahudi karmak vermek,1
user bir oğul varmak şimdi kız demek,0
iyi akşamlamak eskişehir elit bey gü yorgun atmak istemek bey aramak eskisehir,0
user lord of the ben kalmak,1
okul yıl tamamen rezil dolu yem etmek,0
user geçmiş olmak güleç yüz rabbi acil şifa vermek,0
user canlı sıralamak takip etmek pazartesi eklemek,0
yem etmek zor gitmek kendi bile,0
user yapmak ebru hanım siz nagihan atakan yalan çıkarcı demek hep nagihan sevmek herkes rahat,1
se sevmek yanlış anlamak,0
kare saçmalamak sikmek boy kaybetmek düşünmek ummak,1
user user telif hakk dava açmak hayır olmak,0
yapmak hata anlamak işte anmak dönmek istemek,0
user user görüş büyük saygı duymak hak kendi müslüman bir insan ibadet başka tavır yüzünden eksik etmek,0
